Job,Processors,Execution Time,Deadline,Release Time,Scheduler Overhead (microSec),Scheduled At,Rescheduled to,Completion Time,Scheduled Hardware
0,6,6,20,1,88.45,1,-1,7,1
1,8,8,22,3,140.92,3,-1,11,1
2,10,10,35,5,248.22,11,-1,21,1
3,4,4,18,6,392.45,11,-1,15,1
4,6,6,35,6,420.56,15,-1,21,1
5,8,8,32,7,446.80,21,-1,29,1
6,4,4,34,9,613.07,21,-1,25,1
7,6,6,45,11,441.17,25,-1,31,1
8,6,6,45,14,385.75,29,-1,35,1
9,8,8,54,15,187.42,31,-1,39,1
10,10,10,65,17,203.05,39,-1,49,1
11,4,4,38,17,22.06,-1,-1,-1,2
12,6,6,71,18,240.94,39,-1,45,1
13,8,8,73,21,183.64,49,-1,57,1
14,4,4,64,25,189.14,49,-1,53,1
15,6,6,85,26,199.23,53,-1,59,1
