Job,Processors,Execution Time,Deadline,Release Time,Scheduler Overhead (microSec),Scheduled At,Rescheduled to,Completion Time,Scheduled Hardware
0,6,6,20,1,25.27,1,-1,7,1
1,8,8,22,3,28.13,3,-1,11,1
2,10,10,35,5,68.38,25,-1,35,1
3,4,4,18,6,119.28,7,-1,11,1
4,6,6,35,6,155.42,11,-1,17,1
5,8,8,32,7,156.17,11,-1,19,1
6,4,4,34,9,183.74,17,-1,21,1
7,6,6,45,11,137.06,19,-1,25,1
8,6,6,45,14,173.56,19,-1,25,1
9,8,8,54,15,23.54,-1,-1,-1,2
10,10,10,65,17,137.93,55,-1,65,1
11,4,4,38,17,188.17,21,-1,25,1
12,6,6,71,18,223.82,25,-1,31,1
13,8,8,73,21,22.15,-1,-1,-1,2
14,4,4,64,25,124.57,31,-1,35,1
15,6,6,85,26,147.98,35,-1,41,1
